year	CON	PYD	AAA
1945	1061.5	1383.1	0.32
1946	1193.6	1368.6	-5.97
1947	1216.4	1312.9	-11.79
1948	1243.9	1382.1	-4.88
1949	1278.5	1393.3	3.66
1950	1360.5	1521.9	1.52
1951	1381.7	1573.3	-5.04
1952	1425.3	1627.8	0.66
1953	1493.3	1706.9	2.4
1954	1524.7	1731.3	2.6
1955	1637.3	1846.5	3.36
1956	1685.1	1934.8	1.86
1957	1726.8	1984.9	0.59
1958	1741.7	2005.9	1.09
1959	1840.5	2092.1001	3.3
1960	1891	2146.8999	2.91
1961	1929.9	2222.7	3.25
1962	2025.4	2328.8999	3.13
1963	2108.8	2416.5	3.06
1964	2234.3999	2588.1001	3.1
1965	2376	2748.8999	2.89
1966	2510.6001	2895	2.13
1967	2585.6001	3020.6001	2.71
1968	2734	3157.3999	1.88
1969	2836.2	3264.3999	1.53
1970	2903	3413.2	2.24
1971	3013.8	3570.3999	3.09
1972	3198.7	3741.2	3.91
1973	3357.2	3968.6001	1.24
1974	3329.5	3923.6001	-2.53
1975	3405.1001	4020	-0.27
1976	3595	4144	2.73
1977	3746.5	4274.7998	1.52
1978	3911.2	4470.5	1.13
1979	4004.1001	4557.7998	-1.67
1980	3991.5	4590.5	-1.56
1981	4050.8	4705.6001	3.87
1982	4108.3999	4803.2998	7.69
1983	4342.6001	4971	8.84
1984	4571.6001	5314	8.41
1985	4811.8999	5476.2002	7.87
1986	5014	5687.7998	7.12
1987	5183.6001	5811	5.68
1988	5400.5	6083.8999	5.61
1989	5558.1001	6268.7002	4.46
1990	5672.6001	6393.5	3.92
1991	5685.6001	6438.3999	4.57
1992	5896.5	6714.2002	5.14
1993	6101.3999	6823.6001	4.22
1994	6338	7010.7002	5.36
1995	6527.6001	7245.7998	4.79
1996	6755.6001	7476.1001	4.47
1997	7009.8999	7751.2998	4.96
1998	7384.7002	8208.0996	4.93
1999	7775.8999	8477.7002	4.84
2000	8170.7002	8902.2002	4.22
2001	8382.5996	9148.7002	4.28
2002	8598.7998	9431.5996	4.89
2003	8867.5996	9690.0996	3.37
2004	9208.2002	10035.7	2.93
2005	9531.7998	10189.4	1.84
2006	9821.7002	10595.4	2.39
2007	10041.6	10820.6	2.66
2008	10007.2	10987.3	1.83
2009	9847	10942.5	5.71
2010	10036.3	11055.1	3.34
2011	10263.5	11331.2	1.44
2012	10449.7	11676.2	1.57
2013	10699.7	11650.8	2.74
2014	10969	11939.4	2.56
