ed	south	nonwh	hisp	fe	marr	union	wage	age
10	0	0	0	0	1	0	864	42
12	0	0	0	0	1	0	560	40
12	0	0	0	1	0	0	361	26
12	0	0	0	1	1	0	1025	48
12	0	0	0	0	1	1	1415	56
16	0	0	0	1	1	0	846	53
12	0	0	0	1	1	1	953	23
14	0	0	0	0	0	0	1437	37
8	0	0	0	0	1	0	1189	52
12	0	0	0	1	1	0	550	36
17	0	0	1	0	1	0	2457	39
17	0	0	0	0	0	0	2199	29
14	0	0	1	0	0	1	2326	26
14	0	0	0	0	0	0	1502	32
12	0	0	0	0	1	0	324	53
14	0	0	1	0	0	0	506	20
16	0	0	1	0	1	1	1081	24
16	0	1	0	0	1	1	1498	52
13	0	1	0	0	0	0	619	22
13	0	0	1	0	0	0	986	31
17	0	1	0	1	1	0	1174	54
12	0	1	0	0	1	1	1226	41
14	0	0	0	1	0	1	763	37
12	0	0	0	1	1	0	403	55
16	0	1	0	0	1	0	834	35
12	0	0	0	1	0	0	759	25
17	0	0	0	1	0	0	2686	30
14	0	0	0	0	1	0	985	37
14	0	0	0	0	1	0	1432	38
13	0	0	1	1	1	0	590	21
14	0	1	0	0	1	0	1499	34
16	0	0	0	0	1	0	2654	36
12	0	0	0	0	1	0	1297	32
18	0	0	0	0	1	0	1539	36
16	0	0	0	0	0	0	599	26
17	0	0	0	1	1	0	1161	38
16	0	0	0	1	0	0	1212	68
12	0	0	0	0	1	0	1346	27
15	0	0	0	1	1	0	1357	24
16	0	0	0	0	1	0	2353	47
16	0	1	0	1	0	0	1118	22
16	0	0	0	0	1	0	1432	57
13	0	0	0	1	0	1	845	23
12	0	0	0	0	1	0	1118	43
14	0	0	0	0	1	0	495	20
12	0	0	0	0	1	0	713	49
8	0	0	0	0	1	1	968	47
12	0	0	0	0	0	0	342	18
12	0	0	0	1	1	0	464	28
14	0	0	0	1	1	0	1026	27
9	0	0	0	0	1	1	374	66
16	0	0	0	0	1	0	1588	36
12	0	0	0	1	0	0	841	44
12	0	0	0	1	1	0	1012	62
9	0	0	0	0	0	1	951	52
8	0	0	1	1	1	0	684	35
18	0	0	0	1	1	0	1264	41
14	0	1	0	0	0	0	1082	42
12	0	0	0	1	0	0	348	54
12	0	0	0	1	0	0	799	24
12	0	0	0	1	1	0	1188	57
8	0	1	0	1	0	0	809	39
12	0	1	0	0	0	1	390	24
12	0	1	0	1	0	0	535	41
16	0	1	0	0	0	0	347	23
12	0	0	0	1	1	0	1119	60
12	0	0	0	0	1	0	672	23
13	0	0	0	0	1	1	1034	53
16	0	0	0	1	1	0	557	34
12	0	0	0	1	0	0	720	27
12	0	0	0	0	1	1	1103	58
10	0	0	0	1	1	1	1080	39
13	0	0	0	0	0	0	362	19
18	0	0	0	0	1	1	1390	41
12	0	0	0	0	0	0	618	44
14	0	0	0	1	1	0	1478	48
15	0	0	0	1	1	0	889	33
12	0	0	0	1	0	0	344	18
8	0	0	0	1	0	0	355	65
14	0	0	0	1	1	0	534	51
12	0	0	0	0	1	1	642	21
16	0	0	0	1	1	0	930	28
10	0	0	0	1	0	1	646	63
12	0	0	0	1	1	0	387	46
12	0	0	0	1	1	0	493	30
12	0	0	0	0	1	0	593	21
12	0	0	0	0	1	0	520	21
17	0	0	0	0	1	1	850	29
12	0	0	0	1	0	0	520	24
9	0	0	0	1	1	0	478	61
16	0	0	0	1	1	0	1872	35
12	0	0	0	0	1	0	2169	42
12	0	0	0	0	0	0	404	21
12	0	0	0	1	0	0	503	18
14	0	0	0	0	1	0	1062	45
12	0	1	0	0	0	1	1013	39
14	0	0	1	1	0	0	716	38
15	0	0	0	0	0	0	1363	34
16	0	0	0	1	0	0	403	40
12	0	0	0	1	1	0	1550	42
12	1	0	0	0	1	0	1568	34
12	1	0	1	1	0	0	381	29
12	1	0	1	0	0	0	489	30
12	1	0	1	1	0	0	445	22
12	1	0	1	1	1	0	366	56
12	1	0	0	1	1	0	739	34
12	1	0	0	1	0	0	467	27
12	1	0	0	0	1	0	666	20
12	1	0	0	0	1	0	1228	45
7	1	0	0	1	1	0	571	26
12	1	0	0	0	1	0	1077	33
12	1	0	1	1	1	0	1199	50
12	1	0	0	1	1	0	375	28
16	1	1	0	0	1	0	1876	39
13	1	0	0	1	0	0	361	20
16	1	0	0	0	0	0	585	26
14	1	0	0	0	1	0	2266	34
12	1	0	0	1	0	0	664	25
7	1	0	1	0	1	0	471	29
13	1	0	0	1	0	0	990	46
14	1	0	0	0	1	0	1108	28
17	1	0	0	0	0	0	1861	36
16	1	0	0	0	1	0	1428	28
13	1	0	0	1	1	0	870	26
14	1	0	0	0	1	0	1927	67
16	0	0	0	1	0	1	669	33
14	0	0	0	0	1	1	999	46
11	0	0	0	0	1	1	573	30
12	0	0	0	1	0	0	733	26
18	0	0	0	1	1	0	1849	43
17	0	0	0	1	1	0	997	40
16	0	0	0	1	0	1	1081	32
16	0	0	0	1	0	0	1403	35
11	0	0	0	1	1	0	580	42
11	0	0	0	1	0	0	663	29
12	0	0	0	1	1	0	1024	54
15	0	0	0	1	0	0	1125	56
2	0	0	1	0	0	0	372	23
14	0	0	0	1	1	0	1115	34
14	0	0	0	1	1	0	775	29
14	0	0	0	0	0	0	1595	38
11	0	0	0	0	0	0	402	31
16	0	1	0	1	1	0	923	28
12	0	1	0	1	1	0	1280	50
16	0	0	0	0	0	0	1428	35
12	0	0	0	0	0	0	869	35
12	0	0	1	0	0	0	481	26
17	0	0	0	1	0	1	651	26
12	0	0	0	1	1	0	771	47
8	0	0	0	0	1	0	475	35
16	0	0	0	1	1	0	787	40
18	0	0	0	0	1	0	725	52
18	0	0	0	0	1	0	1065	44
18	0	0	0	0	1	0	559	22
12	0	0	0	0	1	0	526	31
12	0	0	0	0	1	0	914	35
12	0	0	0	1	1	0	411	26
12	0	0	0	0	1	1	1065	32
12	0	0	0	0	1	0	787	35
11	0	0	0	0	0	0	341	32
12	0	0	0	0	1	0	839	40
18	0	0	0	0	1	0	1741	39
14	0	1	0	0	0	0	328	20
16	0	1	0	0	0	0	1449	27
16	0	0	0	0	1	0	2440	35
18	0	0	0	0	0	0	1793	33
12	0	0	0	1	1	0	877	37
11	0	1	0	1	1	0	684	29
14	0	0	0	1	0	0	435	46
12	0	0	0	0	1	0	923	41
12	0	0	0	0	0	0	674	19
12	0	0	0	1	1	1	700	26
12	0	0	0	1	1	0	363	60
18	0	0	0	1	0	0	2333	65
12	0	0	0	1	1	0	551	30
18	0	0	0	0	1	0	2163	33
12	0	0	0	1	1	0	1276	33
12	0	0	0	1	1	0	671	54
12	0	0	0	1	0	0	459	21
12	0	0	0	0	1	0	648	31
10	0	0	0	0	1	0	647	32
12	0	0	0	0	0	0	829	28
16	0	0	0	0	1	0	1211	34
13	0	0	0	1	1	0	677	49
12	0	0	0	1	0	1	889	33
14	0	0	0	0	0	0	750	22
17	0	0	0	1	1	0	1152	50
18	0	0	0	1	0	1	1309	50
14	0	0	0	0	0	0	1700	43
14	0	0	0	0	0	0	669	22
12	0	0	0	0	1	1	1088	23
9	0	0	0	1	1	1	993	60
6	0	0	1	1	1	1	288	53
14	0	0	0	1	1	0	842	33
12	0	0	0	1	0	0	437	31
12	0	0	0	1	0	0	355	33
12	0	0	0	1	1	0	599	38
12	0	0	0	1	1	0	517	42
12	0	0	0	0	1	0	1493	64
11	0	0	0	1	0	1	607	66
16	0	1	0	0	1	0	929	32
17	0	0	0	0	1	0	2464	57
12	0	0	0	1	1	0	839	44
14	0	0	1	1	1	0	488	33
12	0	0	0	0	1	1	2387	48
16	0	1	0	0	1	1	903	22
16	0	0	1	1	1	0	813	37
10	1	0	0	1	0	0	346	44
13	1	0	0	1	1	0	363	21
16	1	1	0	1	1	0	347	31
16	1	0	0	1	1	1	2014	53
12	1	0	0	1	0	0	409	61
16	1	0	0	0	1	0	1917	59
13	1	0	0	1	0	0	454	19
12	1	0	0	1	0	0	727	21
12	1	0	0	1	1	0	180	23
18	1	0	1	1	1	0	505	38
10	1	0	0	0	0	0	833	37
12	1	0	0	0	1	0	503	25
12	1	1	0	1	1	0	352	26
13	1	0	0	0	1	0	585	32
12	1	0	1	0	0	0	396	21
3	1	0	1	0	1	0	658	64
17	1	0	0	1	0	0	465	24
6	1	1	0	1	0	0	423	48
12	1	0	0	1	1	0	547	37
18	0	0	0	0	1	0	2759	51
18	0	0	0	0	1	0	1617	26
16	0	0	0	0	0	0	1557	33
16	0	0	0	0	0	0	323	33
18	0	0	0	0	1	0	1947	33
18	0	0	0	0	0	1	749	53
13	0	0	0	0	0	0	626	50
18	0	0	0	0	1	0	1601	32
16	0	0	0	1	0	0	579	23
12	0	0	0	0	0	0	775	33
16	0	1	0	0	0	0	662	22
12	0	0	0	1	1	0	706	58
12	0	0	0	1	1	0	691	44
12	0	0	0	0	1	0	1277	59
18	0	0	0	0	1	0	1235	34
12	0	0	0	0	0	0	549	21
15	0	0	0	0	0	0	1158	24
12	0	0	0	1	0	0	1112	59
12	0	1	0	1	1	1	844	65
17	0	0	0	1	1	1	1030	47
12	0	0	0	1	1	0	622	55
12	0	0	0	0	1	0	680	59
14	0	0	0	1	0	0	4388	21
13	0	0	0	1	1	0	972	33
12	0	0	0	0	1	0	864	24
12	0	0	0	1	1	0	511	42
12	0	0	0	1	1	0	468	42
17	0	0	0	1	0	1	1639	38
15	0	0	0	0	1	0	2414	33
16	1	0	0	1	1	0	527	29
12	1	1	0	0	1	0	497	30
18	1	0	0	0	1	0	651	33
18	1	0	0	1	0	0	961	35
12	1	0	0	0	1	0	500	33
9	1	0	0	1	1	0	673	49
12	1	0	0	1	1	0	280	46
16	1	0	0	0	1	1	950	32
10	1	0	0	0	0	0	499	30
12	1	0	0	0	1	0	924	50
15	1	0	0	1	0	0	567	51
13	1	0	0	1	0	0	436	19
14	1	0	0	0	1	1	1100	35
12	1	1	0	1	1	0	1306	46
12	1	0	0	0	1	0	869	32
12	1	0	0	0	0	0	1248	22
9	1	0	0	0	1	0	1898	42
14	1	0	0	1	0	0	655	31
12	0	0	0	1	1	1	613	30
12	0	0	0	1	1	0	337	24
9	0	0	0	1	1	0	475	32
12	0	0	0	1	1	0	559	35
12	0	0	0	1	1	0	575	39
12	0	0	0	1	1	0	1368	59
12	0	0	0	1	1	0	1149	28
13	0	0	0	0	1	0	849	37
12	0	0	0	0	1	1	1201	37
10	0	0	0	0	1	0	488	34
14	1	0	0	0	0	0	585	24
12	1	0	0	1	1	0	468	51
12	1	0	0	0	1	0	742	57
12	1	0	0	0	0	0	1142	23
12	1	0	0	0	1	1	1539	52
11	1	1	0	0	0	0	317	21
10	1	0	0	0	0	0	486	38
12	1	0	0	1	1	0	438	51
10	1	1	0	1	1	0	1359	51
10	1	0	0	0	1	0	720	21
6	1	0	0	0	1	0	532	52
8	1	0	0	0	1	0	607	43
12	1	1	0	0	1	0	808	41
16	1	0	0	0	1	1	1962	31
12	1	0	0	0	0	0	639	21
11	1	1	0	1	1	0	416	44
14	1	0	0	0	1	0	1606	39
17	0	0	0	1	0	0	1193	36
14	0	0	0	0	0	0	562	23
11	0	0	0	0	0	0	627	33
12	0	0	0	1	1	0	829	45
12	0	0	0	0	1	1	723	41
12	0	0	0	0	1	1	1383	55
7	0	1	0	0	1	1	738	52
7	1	0	0	0	1	0	336	57
12	1	0	0	0	0	0	696	25
16	1	0	1	1	1	0	571	30
13	1	0	0	1	1	0	466	25
13	1	1	0	1	0	0	358	20
14	1	0	0	0	1	0	910	58
16	1	0	0	1	1	0	1026	22
11	1	0	0	1	1	1	433	44
12	1	0	0	1	1	0	896	53
14	1	0	0	1	1	0	1000	35
18	1	0	0	0	1	0	550	29
12	1	0	0	1	0	0	709	37
17	1	0	0	0	1	0	697	24
11	1	1	0	0	1	1	1024	47
10	1	0	0	0	1	1	888	45
16	1	0	0	1	0	0	396	31
15	1	0	0	0	0	0	398	28
12	0	0	0	0	0	0	1036	34
12	0	0	0	0	1	1	1509	49
12	0	0	0	1	0	0	391	22
18	0	0	0	0	1	1	1199	50
16	0	0	0	1	1	0	1164	26
16	0	0	0	1	1	0	1513	34
16	0	0	0	0	0	1	485	27
12	0	0	0	0	0	1	1041	38
12	0	0	0	0	1	1	1317	56
12	1	0	0	0	1	0	1166	50
12	1	0	0	1	0	0	723	45
10	1	1	0	0	1	1	657	60
17	1	1	0	1	0	0	588	28
12	1	1	0	0	0	0	356	20
8	1	1	0	1	1	0	432	49
12	1	1	0	0	1	1	1385	37
5	1	0	0	0	1	0	1488	50
10	1	1	0	1	1	0	379	49
13	1	0	0	0	0	0	426	25
18	1	0	0	0	1	0	632	34
12	0	0	0	0	0	0	647	24
16	0	0	0	0	1	1	1137	30
13	0	0	0	0	0	0	1925	46
16	0	0	0	0	1	0	1502	37
12	0	1	0	0	0	0	743	25
16	0	0	0	1	0	0	933	18
16	0	0	0	1	1	0	908	27
16	1	0	0	1	0	0	2639	28
12	1	0	0	1	1	0	353	31
11	1	0	0	0	1	0	606	51
12	1	0	0	0	0	0	480	24
8	1	0	0	1	0	0	483	58
12	0	0	0	0	0	0	631	28
16	0	0	0	0	0	0	1006	27
12	0	0	0	0	1	0	872	40
16	0	0	0	1	1	0	1288	33
12	0	0	0	1	0	0	847	29
12	0	0	0	1	1	0	399	32
12	0	0	0	1	0	0	449	37
16	0	0	0	0	1	0	1157	42
14	0	0	0	0	0	0	896	31
11	0	0	0	0	0	1	1498	33
16	0	0	0	0	1	0	1343	33
18	0	0	0	1	0	0	2420	63
18	0	0	0	1	1	0	1475	31
13	1	0	0	0	1	0	773	35
12	1	0	0	0	1	0	678	33
11	1	1	0	0	1	0	489	27
12	1	0	0	1	1	0	641	42
12	1	1	0	1	1	0	828	41
12	1	0	0	1	1	0	754	31
12	1	1	0	0	0	0	791	22
7	1	0	0	0	1	0	729	54
8	1	0	1	0	1	0	338	22
12	1	0	0	0	1	0	1180	23
12	1	0	1	0	0	1	650	19
16	1	0	0	1	0	0	523	23
12	1	0	0	0	0	0	495	24
11	1	0	0	1	1	0	323	34
14	1	0	0	0	1	1	1165	36
12	0	0	0	0	0	0	809	25
12	0	0	0	0	1	0	914	33
12	0	0	0	0	0	0	1131	29
12	0	0	0	0	1	1	989	37
12	0	0	0	1	1	1	1287	31
17	0	0	0	0	1	0	754	25
17	0	0	0	0	1	0	1204	40
12	1	1	0	1	1	0	358	29
12	1	0	0	0	1	1	1946	33
13	1	0	0	0	1	0	636	26
8	1	0	0	1	1	0	455	54
14	1	0	0	1	1	0	324	29
12	1	0	0	0	1	1	1114	33
12	0	0	0	1	1	0	369	25
12	0	0	0	0	1	1	975	39
14	0	0	0	1	0	0	401	21
12	0	0	0	1	1	0	461	54
16	0	0	0	0	1	0	1291	39
15	0	0	0	0	1	0	1866	55
12	0	0	0	1	0	0	1003	47
11	0	0	0	0	1	1	1373	34
12	0	1	0	0	1	1	867	26
12	0	0	0	1	1	0	429	22
16	0	0	0	0	1	0	532	35
13	0	0	0	0	1	0	1093	28
18	0	0	0	1	1	1	1276	40
12	0	0	0	1	1	0	1194	43
16	0	0	0	0	1	1	686	31
14	1	1	0	0	0	0	795	37
12	1	0	0	1	1	0	443	31
12	1	0	0	1	1	0	438	21
16	1	0	0	0	1	0	601	49
11	1	0	0	0	1	0	1040	42
12	1	0	0	1	1	0	956	33
13	0	0	0	1	1	0	471	50
16	0	0	0	0	1	0	1503	27
15	0	0	0	0	1	0	1041	30
14	0	0	0	1	0	0	932	41
13	0	0	0	0	0	0	549	22
14	1	0	0	0	0	0	711	21
11	1	0	0	0	1	1	967	52
11	1	0	0	0	1	1	1269	34
15	1	0	0	1	1	0	1062	33
12	1	0	0	0	1	1	1391	35
12	0	0	0	0	1	1	1291	30
14	0	0	0	1	0	0	872	26
12	0	0	0	0	1	1	1205	36
14	0	1	0	0	1	1	664	52
13	0	0	0	0	1	1	1152	28
14	0	0	0	0	1	0	664	34
13	0	0	0	1	1	0	1291	39
10	0	0	0	0	1	0	963	32
10	0	0	0	0	1	0	1019	29
12	0	0	0	0	1	0	949	47
16	0	0	0	1	1	0	917	49
13	0	0	0	0	1	0	1128	31
8	0	0	1	1	1	0	499	37
11	0	1	0	0	0	0	688	20
8	0	1	0	1	1	0	344	45
12	0	0	0	1	1	0	436	21
18	0	1	0	0	1	0	608	55
12	0	0	0	0	1	0	1908	50
13	0	0	0	0	0	0	777	32
12	0	0	0	1	1	0	760	31
9	0	0	0	0	1	0	894	53
12	0	0	0	0	0	0	397	23
12	0	0	0	0	1	0	905	25
16	0	0	0	1	0	0	1171	26
12	0	0	0	1	1	0	449	23
9	0	1	0	0	0	0	444	28
10	0	0	0	0	1	0	694	41
12	0	0	0	0	1	0	843	38
12	0	0	0	1	0	0	932	37
12	0	1	0	0	1	0	525	28
12	0	1	0	1	1	0	611	55
12	0	1	0	0	0	0	1172	54
12	0	1	0	1	0	0	330	44
12	0	1	0	0	1	1	1068	56
13	0	1	0	0	0	1	978	29
12	1	1	0	1	1	0	741	41
18	1	0	0	0	0	0	610	30
17	1	0	0	0	0	0	852	27
12	1	1	0	0	1	0	437	29
9	1	1	0	1	1	1	590	45
12	0	0	0	0	0	0	547	24
12	0	0	0	0	1	0	379	50
11	0	0	0	0	0	0	479	21
12	0	0	0	1	0	0	519	25
13	0	0	0	1	1	0	583	23
16	0	0	0	1	1	1	952	40
12	0	0	0	1	1	0	558	65
14	0	0	0	1	1	0	1041	41
